,bookpageID,appdate,ceremonydate,delay,officialTitle,person,dob,age,race,prevcount,prevconc,hs,college,dayOfBirth,sign,dateDiff
1,B230p539,10/29/1996,11/9/1996,11,CIRCUIT JUDGE ,Groom,4/11/1964,32.60273973,White,0,NA,12,7,102,Aries,11
2,B230p677,11/12/1996,11/12/1996,0,MARRIAGE OFFICIAL,Groom,8/6/1964,32.29041096,White,1,Divorce,12,0,219,Leo,0
3,B230p766,11/19/1996,11/27/1996,8,MARRIAGE OFFICIAL,Groom,2/20/1962,34.79178082,Hispanic,1,Divorce,12,3,51.5,Pisces,8
4,B230p892,12/2/1996,12/7/1996,5,MINISTER,Groom,5/20/1956,40.57808219,Black,1,Divorce,12,4,141,Gemini,5
5,B230p994,12/9/1996,12/14/1996,5,MINISTER,Groom,12/14/1966,30.02191781,White,0,NA,12,0,348.5,Saggitarius,5
6,B230p1209,12/26/1996,12/26/1996,0,MARRIAGE OFFICIAL,Groom,2/21/1970,26.8630137,White,1,NA,12,0,52.5,Pisces,0
7,B230p1354,1/8/1997,1/24/1997,16,MARRIAGE OFFICIAL,Groom,10/11/1971,25.30684932,White,1,Divorce,12,0,284.25,Libra,16
8,B230p1665,2/10/1997,2/10/1997,0,MARRIAGE OFFICIAL,Groom,1/31/1962,35.05205479,White,1,Divorce,12,0,31.5,Aquarius,0
9,B230p1948,3/3/1997,3/31/1997,28,MARRIAGE OFFICIAL,Groom,12/4/1975,21.3369863,Black,0,NA,12,0,338.25,Saggitarius,28
10,B231p48,3/12/1997,3/22/1997,10,MINISTER,Groom,7/2/1951,45.75342466,White,3,Divorce,12,6,183.25,Cancer,10
11,B231p198,3/21/1997,3/29/1997,8,PASTOR,Groom,2/6/1955,42.16986301,Black,1,Divorce,12,2,37.25,Aquarius,8
12,B231p406,4/7/1997,4/7/1997,0,CHIEF CLERK,Groom,11/15/1967,29.41369863,White,1,Divorce,12,1,319.25,Scorpio,0
13,B231p632,4/22/1997,4/26/1997,4,MARRIAGE OFFICIAL,Groom,9/1/1976,20.6630137,White,0,NA,12,1,245,Virgo,4
14,B231p713,4/30/1997,5/4/1997,4,MINISTER,Groom,10/15/1978,18.56438356,White,0,NA,10,0,288.5,Libra,4
15,B231p1042,5/23/1997,5/23/1997,0,MARRIAGE OFFICIAL,Groom,10/30/1954,42.59178082,White,1,Divorce,12,0,303.5,Scorpio,0
16,B231p1201,6/3/1997,6/7/1997,4,PASTOR,Groom,11/28/1959,37.55068493,American Indian,0,NA,12,4,332.25,Saggitarius,4
17,B231p1436,6/18/1997,6/27/1997,9,PASTOR,Groom,1/30/1966,31.42739726,White,0,NA,12,2,30.5,Aquarius,9
18,B231p1841,7/14/1997,7/14/1997,0,MARRIAGE OFFICIAL,Groom,5/19/1978,19.16712329,Black,0,NA,12,NA,139.5,Taurus,0
19,B232p148,8/7/1997,8/10/1997,3,REVEREND,Groom,2/20/1943,54.50684932,White,1,Death,12,NA,51.25,Pisces,3
20,B232p299,8/18/1997,8/30/1997,12,PASTOR,Groom,5/19/1948,49.31506849,White,1,Divorce,12,0,140,Taurus,12
21,B232p522,9/4/1997,9/6/1997,2,PASTOR,Groom,4/10/1945,52.44383562,White,1,Death,12,7,100.75,Aries,2
22,B232p770,9/24/1997,9/26/1997,2,MINISTER,Groom,11/29/1952,44.85479452,Black,1,Divorce,9,0,334,Saggitarius,2
23,B232p1079,10/20/1997,10/20/1997,0,MARRIAGE OFFICIAL,Groom,10/20/1958,39.02739726,Black,1,Divorce,12,3,293.5,Libra,0
24,B232p1211,10/31/1997,10/31/1997,0,MARRIAGE OFFICIAL,Groom,1/6/1960,37.84383562,White,1,Divorce,12,1,6,Capricorn,0
25,B232p1519,11/26/1997,11/26/1997,0,MARRIAGE OFFICIAL,Groom,11/27/1972,25.01369863,White,1,Divorce,12,0,332,Saggitarius,0
26,B232p1888,12/31/1997,12/31/1997,0,MARRIAGE OFFICIAL,Groom,8/6/1971,26.42191781,White,0,NA,12,1,218.25,Leo,0
27,B233p141,1/30/1998,1/30/1998,0,MARRIAGE OFFICIAL,Groom,10/21/1978,19.29041096,Black,0,NA,12,0,294.5,Libra,0
28,B233p268,2/12/1998,2/14/1998,2,ELDER,Groom,10/10/1979,18.36164384,Black,0,NA,9,0,283.25,Libra,2
29,B233p429,2/27/1998,3/7/1998,8,PASTOR,Groom,4/6/1957,40.94520548,White,2,Divorce,12,0,96.75,Aries,8
30,B233p674,3/13/1998,4/4/1998,22,CATHOLIC PRIEST,Groom,3/3/1971,27.10684932,White,0,NA,12,2,62.25,Pisces,22
31,B233p903,3/31/1998,3/31/1998,0,MARRIAGE OFFICIAL,Groom,2/25/1978,20.10684932,White,0,NA,12,0,56.5,Pisces,0
32,B233p1245,4/23/1998,4/24/1998,1,PASTOR,Groom,9/19/1946,51.63013699,White,2,Divorce,12,NA,262.5,Virgo,1
33,B233p1381,5/1/1998,5/23/1998,22,PASTOR,Groom,4/18/1975,23.11232877,White,0,NA,12,5,108.25,Aries,22
34,B233p1690,5/26/1998,5/30/1998,4,MINISTER,Groom,6/5/1964,34.00547945,White,2,Divorce,12,4,157,Gemini,4
35,B233p1899,6/9/1998,6/27/1998,18,MARRIAGE OFFICIAL,Groom,2/13/1975,23.38356164,White,0,NA,12,4,44.25,Aquarius,18
36,B234p65,6/18/1998,6/20/1998,2,BISHOP,Groom,11/26/1956,41.59178082,Black,0,NA,9,0,331,Saggitarius,2
37,B234p438,7/13/1998,8/1/1998,19,PASTOR,Groom,5/21/2024,74.24657534,White,1,Death,12,0,142,Gemini,19
38,B234p687,7/31/1998,7/31/1998,0,MARRIAGE OFFICIAL,Groom,3/18/2027,71.41917808,White,1,Divorce,12,NA,77.25,Pisces,0
39,B234p904,8/13/1998,8/13/1998,0,MARRIAGE OFFICIAL,Groom,5/28/1941,57.24931507,Black,1,Divorce,12,0,148.75,Gemini,0
40,B234p1292,9/15/1998,9/26/1998,11,PASTOR,Groom,9/20/1969,29.03561644,White,0,NA,12,2,263.75,Virgo,11
41,B234p1485,10/2/1998,10/2/1998,0,MARRIAGE OFFICIAL,Groom,2/26/1943,55.63561644,White,2,Divorce,12,1,57.25,Pisces,0
42,B234p1621,10/14/1998,10/23/1998,9,MINISTER,Groom,3/7/1980,18.64109589,White,0,NA,11,0,67,Pisces,9
43,B234p1966,11/9/1998,11/9/1998,0,MARRIAGE OFFICIAL,Groom,5/28/1980,18.4630137,Black,0,NA,12,0,149,Gemini,0
44,B235p7,11/12/1998,11/28/1998,16,MINISTER,Groom,9/14/1978,20.21917808,White,0,NA,12,2,257.5,Virgo,16
45,B235p259,12/2/1998,12/5/1998,3,PASTOR,Groom,2/18/1955,43.82465753,White,2,Divorce,12,NA,49.25,Pisces,3
46,B235p404,12/14/1998,12/14/1998,0,MARRIAGE OFFICIAL,Groom,9/20/1960,38.25753425,White,1,Divorce,12,2,264,Virgo,0
47,B235p563,12/23/1998,12/23/1998,0,MARRIAGE OFFICIAL,Groom,5/20/1974,24.6109589,White,0,NA,11,0,140.5,Gemini,0
48,B235p837,1/22/1999,1/31/1999,9,MINISTER,Groom,7/19/1931,67.58356164,White,1,Divorce,12,7,200.25,Cancer,9
49,B235p992,2/5/1999,2/6/1999,1,MINISTER,Groom,12/20/1959,39.15890411,White,5,Divorce,12,4,354.25,Saggitarius,1
50,B230p539,10/29/1996,11/9/1996,11,CIRCUIT JUDGE ,Bride,2/25/1968,28.7260274,White,0,NA,12,2,56,Pisces,11
51,B230p677,11/12/1996,11/12/1996,0,MARRIAGE OFFICIAL,Bride,4/24/1944,52.5890411,White,0,NA,12,2,115,Taurus,0
52,B230p766,11/19/1996,11/27/1996,8,MARRIAGE OFFICIAL,Bride,3/10/1970,26.7369863,White,0,NA,12,1,69.5,Pisces,8
53,B230p892,12/2/1996,12/7/1996,5,MINISTER,Bride,5/18/1957,39.58356164,Black,1,Divorce,12,1,138.75,Taurus,5
54,B230p994,12/9/1996,12/14/1996,5,MINISTER,Bride,12/23/1972,23.99178082,White,0,NA,12,6,358,Capricorn,5
55,B230p1209,12/26/1996,12/26/1996,0,MARRIAGE OFFICIAL,Bride,11/19/1971,25.12054795,White,1,NA,12,2,323.25,Scorpio,0
56,B230p1354,1/8/1997,1/24/1997,16,MARRIAGE OFFICIAL,Bride,12/8/1971,25.14794521,White,1,Divorce,12,0,342.25,Saggitarius,16
57,B230p1665,2/10/1997,2/10/1997,0,MARRIAGE OFFICIAL,Bride,9/5/1976,20.44657534,White,0,NA,10,0,249,Virgo,0
58,B230p1948,3/3/1997,3/31/1997,28,MARRIAGE OFFICIAL,Bride,3/20/1977,20.04383562,Black,0,NA,12,0,79.75,Aries,28
59,B231p48,3/12/1997,3/22/1997,10,MINISTER,Bride,7/22/1953,43.69589041,White,1,Divorce,12,2,203.75,Leo,10
60,B231p198,3/21/1997,3/29/1997,8,PASTOR,Bride,4/13/1963,33.98356164,Black,0,NA,12,2,103.25,Aries,8
61,B231p406,4/7/1997,4/7/1997,0,CHIEF CLERK,Bride,4/26/1973,23.96438356,White,1,Divorce,12,0,116.75,Taurus,0
62,B231p632,4/22/1997,4/26/1997,4,MARRIAGE OFFICIAL,Bride,4/23/1980,17.01917808,White,0,NA,11,0,114,Taurus,4
63,B231p713,4/30/1997,5/4/1997,4,MINISTER,Bride,2/1/1977,20.26575342,White,0,NA,10,0,32.75,Aquarius,4
64,B231p1042,5/23/1997,5/23/1997,0,MARRIAGE OFFICIAL,Bride,6/25/1959,37.9369863,White,1,Divorce,12,0,176.25,Cancer,0
65,B231p1201,6/3/1997,6/7/1997,4,PASTOR,Bride,3/2/1958,39.29315068,Black,1,Death,12,0,61.5,Pisces,4
66,B231p1436,6/18/1997,6/27/1997,9,PASTOR,Bride,4/14/1976,21.21643836,White,0,NA,12,2,105,Aries,9
67,B231p1841,7/14/1997,7/14/1997,0,MARRIAGE OFFICIAL,Bride,4/17/1978,19.25479452,White,0,NA,12,NA,107.5,Aries,0
68,B232p148,8/7/1997,8/10/1997,3,REVEREND,Bride,11/16/1947,49.76712329,White,3,Divorce,12,NA,320.25,Scorpio,3
69,B232p299,8/18/1997,8/30/1997,12,PASTOR,Bride,6/23/1953,44.21643836,White,1,Divorce,10,0,174.75,Cancer,12
70,B232p522,9/4/1997,9/6/1997,2,PASTOR,Bride,9/10/1954,43.01917808,White,2,Divorce,12,2,253.5,Virgo,2
71,B232p770,9/24/1997,9/26/1997,2,MINISTER,Bride,10/1/1952,45.01643836,Black,2,Divorce,12,0,275,Libra,2
72,B232p1079,10/20/1997,10/20/1997,0,MARRIAGE OFFICIAL,Bride,5/21/1970,27.43561644,Black,0,NA,12,2,141.5,Gemini,0
73,B232p1211,10/31/1997,10/31/1997,0,MARRIAGE OFFICIAL,Bride,3/29/1959,38.61917808,White,2,Divorce,12,0,88.25,Aries,0
74,B232p1519,11/26/1997,11/26/1997,0,MARRIAGE OFFICIAL,Bride,2/21/1977,20.77534247,White,1,Divorce,12,2,52.75,Pisces,0
75,B232p1888,12/31/1997,12/31/1997,0,MARRIAGE OFFICIAL,Bride,9/27/1962,35.28493151,White,2,Divorce,12,NA,270.5,Libra,0
76,B233p141,1/30/1998,1/30/1998,0,MARRIAGE OFFICIAL,Bride,8/6/1978,19.49863014,Black,0,NA,12,0,218.5,Leo,0
77,B233p268,2/12/1998,2/14/1998,2,ELDER,Bride,6/29/1980,17.64109589,Black,0,NA,9,0,181,Cancer,2
78,B233p429,2/27/1998,3/7/1998,8,PASTOR,Bride,12/3/1955,42.28767123,White,0,NA,12,6,337.25,Saggitarius,8
79,B233p674,3/13/1998,4/4/1998,22,CATHOLIC PRIEST,Bride,10/29/1969,28.44931507,White,0,NA,12,5,302.75,Scorpio,22
80,B233p903,3/31/1998,3/31/1998,0,MARRIAGE OFFICIAL,Bride,11/10/1979,18.4,White,0,NA,11,0,314.25,Scorpio,0
81,B233p1245,4/23/1998,4/24/1998,1,PASTOR,Bride,4/8/1955,43.0739726,White,3,Divorce,10,0,98.25,Aries,1
82,B233p1381,5/1/1998,5/23/1998,22,PASTOR,Bride,3/9/1977,21.21917808,White,0,NA,12,3,68.75,Pisces,22
83,B233p1690,5/26/1998,5/30/1998,4,MINISTER,Bride,7/17/1955,42.89863014,White,1,Divorce,12,0,198.25,Cancer,4
84,B233p1899,6/9/1998,6/27/1998,18,MARRIAGE OFFICIAL,Bride,3/18/1979,19.29041096,White,0,NA,12,0,77.25,Pisces,18
85,B234p65,6/18/1998,6/20/1998,2,BISHOP,Bride,8/21/1958,39.85753425,Black,0,NA,12,NA,233.5,Leo,2
86,B234p438,7/13/1998,8/1/1998,19,PASTOR,Bride,8/3/1930,68.04109589,White,1,Death,12,5,215.5,Leo,19
87,B234p687,7/31/1998,7/31/1998,0,MARRIAGE OFFICIAL,Bride,10/29/2025,72.80273973,White,1,Divorce,12,2,302.75,Scorpio,0
88,B234p904,8/13/1998,8/13/1998,0,MARRIAGE OFFICIAL,Bride,2/28/1944,54.49315068,Black,1,Divorce,12,0,59,Pisces,0
89,B234p1292,9/15/1998,9/26/1998,11,PASTOR,Bride,2/13/1976,22.63287671,White,0,NA,12,4,44,Aquarius,11
90,B234p1485,10/2/1998,10/2/1998,0,MARRIAGE OFFICIAL,Bride,9/17/1948,50.0739726,White,3,Death,12,4,261,Virgo,0
91,B234p1621,10/14/1998,10/23/1998,9,MINISTER,Bride,7/20/1982,16.27123288,White,0,NA,11,0,201.5,Cancer,9
92,B234p1966,11/9/1998,11/9/1998,0,MARRIAGE OFFICIAL,Bride,8/3/1980,18.27945205,Black,0,NA,12,0,216,Leo,0
93,B235p7,11/12/1998,11/28/1998,16,MINISTER,Bride,9/12/1977,21.22465753,White,0,NA,12,NA,255.75,Virgo,16
94,B235p259,12/2/1998,12/5/1998,3,PASTOR,Bride,6/8/1967,31.51506849,White,1,Divorce,12,2,159.25,Gemini,3
95,B235p404,12/14/1998,12/14/1998,0,MARRIAGE OFFICIAL,Bride,6/24/1961,37.49863014,White,3,Divorce,12,5,175.75,Cancer,0
96,B235p563,12/23/1998,12/23/1998,0,MARRIAGE OFFICIAL,Bride,1/21/1976,22.9369863,White,1,Divorce,8,0,21,Aquarius,0
97,B235p837,1/22/1999,1/31/1999,9,MINISTER,Bride,5/26/2028,70.73150685,White,2,Death,12,2,147,Gemini,9
98,B235p992,2/5/1999,2/6/1999,1,MINISTER,Bride,8/31/1972,26.45205479,White,0,NA,12,4,244,Virgo,1
